food,calories,protein,carbs,fat,sugar,sodium,gi,diabetes_label,hypertension_label,cvd_label,pcos_label,obesity_label,meal_type,target_audience,food_type,region
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",422.8,14.1,55.4,18.1,12.1,120.8,50.3,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",417.4,13.9,54.7,17.9,11.9,119.3,49.7,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",423.2,14.1,55.4,18.1,12.1,120.9,50.4,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,400.0,10.0,52.0,18.0,2.0,350.0,55.0,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,402.1,10.1,52.3,18.1,2.0,351.8,55.3,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,403.3,10.1,52.4,18.1,2.0,352.9,55.5,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,403.6,10.1,52.5,18.2,2.0,353.2,55.5,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,400.3,10.0,52.0,18.0,2.0,350.2,55.0,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,400.3,10.0,52.0,18.0,2.0,350.3,55.0,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,396.1,9.9,51.5,17.8,2.0,346.6,54.5,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,402.3,10.1,52.3,18.1,2.0,352.0,55.3,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,400.1,10.0,52.0,18.0,2.0,350.1,55.0,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,398.1,10.0,51.8,17.9,2.0,348.3,54.7,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,403.9,10.1,52.5,18.2,2.0,353.4,55.5,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,400.6,10.0,52.1,18.0,2.0,350.5,55.1,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,398.7,10.0,51.8,17.9,2.0,348.9,54.8,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,401.8,10.0,52.2,18.1,2.0,351.6,55.3,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,399.9,10.0,52.0,18.0,2.0,349.9,55.0,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,400.2,10.0,52.0,18.0,2.0,350.2,55.0,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,396.0,9.9,51.5,17.8,2.0,346.5,54.5,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,402.6,10.1,52.3,18.1,2.0,352.3,55.4,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,402.9,10.1,52.4,18.1,2.0,352.5,55.4,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,401.0,10.0,52.1,18.0,2.0,350.9,55.1,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney,400.8,10.0,52.1,18.0,2.0,350.7,55.1,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",450.0,12.0,60.0,20.0,2.0,300.0,60.0,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",446.0,11.9,59.5,19.8,2.0,297.3,59.5,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",445.6,11.9,59.4,19.8,2.0,297.0,59.4,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",454.1,12.1,60.5,20.2,2.0,302.7,60.5,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",447.2,11.9,59.6,19.9,2.0,298.2,59.6,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",453.0,12.1,60.4,20.1,2.0,302.0,60.4,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",450.5,12.0,60.1,20.0,2.0,300.3,60.1,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",451.7,12.0,60.2,20.1,2.0,301.1,60.2,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",446.6,11.9,59.5,19.8,2.0,297.7,59.5,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",447.1,11.9,59.6,19.9,2.0,298.0,59.6,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",454.0,12.1,60.5,20.2,2.0,302.7,60.5,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",448.1,11.9,59.7,19.9,2.0,298.7,59.7,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",450.8,12.0,60.1,20.0,2.0,300.5,60.1,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",445.9,11.9,59.5,19.8,2.0,297.3,59.5,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",449.3,12.0,59.9,20.0,2.0,299.5,59.9,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",452.1,12.1,60.3,20.1,2.0,301.4,60.3,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",454.5,12.1,60.6,20.2,2.0,303.0,60.6,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",448.7,12.0,59.8,19.9,2.0,299.1,59.8,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",454.0,12.1,60.5,20.2,2.0,302.7,60.5,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",452.4,12.1,60.3,20.1,2.0,301.6,60.3,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",452.7,12.1,60.4,20.1,2.0,301.8,60.4,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",460.0,24.0,32.0,26.0,1.5,450.0,50.0,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",464.3,24.2,32.3,26.2,1.5,454.2,50.5,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",463.5,24.2,32.2,26.2,1.5,453.4,50.4,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",462.8,24.1,32.2,26.2,1.5,452.8,50.3,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",464.3,24.2,32.3,26.2,1.5,454.2,50.5,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",458.2,23.9,31.9,25.9,1.5,448.3,49.8,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",460.4,24.0,32.0,26.0,1.5,450.4,50.0,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",460.5,24.0,32.0,26.0,1.5,450.5,50.1,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",461.4,24.1,32.1,26.1,1.5,451.4,50.2,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",463.9,24.2,32.3,26.2,1.5,453.9,50.4,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",457.6,23.9,31.8,25.9,1.5,447.7,49.7,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",456.5,23.8,31.8,25.8,1.5,446.5,49.6,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",455.7,23.8,31.7,25.8,1.5,445.8,49.5,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",460.7,24.0,32.1,26.0,1.5,450.7,50.1,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",456.1,23.8,31.7,25.8,1.5,446.2,49.6,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",462.9,24.2,32.2,26.2,1.5,452.8,50.3,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",462.7,24.1,32.2,26.1,1.5,452.6,50.3,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",455.6,23.8,31.7,25.8,1.5,445.7,49.5,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",456.9,23.8,31.8,25.8,1.5,447.0,49.7,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",458.7,23.9,31.9,25.9,1.5,448.7,49.9,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",462.0,24.1,32.1,26.1,1.5,452.0,50.2,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
Cheese Masala Omelette (2 Eggs) w/ 2 Multigrain Toast,480.0,26.0,30.0,28.0,2.0,550.0,55.0,Moderate,Moderate,Moderate,Recommended,Moderate,Breakfast,Adults,Non-Veg,All
Cheese Masala Omelette (2 Eggs) w/ 2 Multigrain Toast,480.4,26.0,30.0,28.0,2.0,550.5,55.0,Moderate,Moderate,Moderate,Recommended,Moderate,Breakfast,Adults,Non-Veg,All
Cheese Masala Omelette (2 Eggs) w/ 2 Multigrain Toast,483.9,26.2,30.2,28.2,2.0,554.5,55.4,Moderate,Moderate,Moderate,Recommended,Moderate,Breakfast,Adults,Non-Veg,All
Cheese Masala Omelette (2 Eggs) w/ 2 Multigrain Toast,475.3,25.7,29.7,27.7,2.0,544.6,54.5,Moderate,Moderate,Moderate,Recommended,Moderate,Breakfast,Adults,Non-Veg,All
Cheese Masala Omelette (2 Eggs) w/ 2 Multigrain Toast,483.0,26.2,30.2,28.2,2.0,553.5,55.3,Moderate,Moderate,Moderate,Recommended,Moderate,Breakfast,Adults,Non-Veg,All
Cheese Masala Omelette (2 Eggs) w/ 2 Multigrain Toast,478.9,25.9,29.9,27.9,2.0,548.7,54.9,Moderate,Moderate,Moderate,Recommended,Moderate,Breakfast,Adults,Non-Veg,All
Cheese Masala Omelette (2 Eggs) w/ 2 Multigrain Toast,475.6,25.8,29.7,27.7,2.0,544.9,54.5,Moderate,Moderate,Moderate,Recommended,Moderate,Breakfast,Adults,Non-Veg,All
Cheese Masala Omelette (2 Eggs) w/ 2 Multigrain Toast,481.2,26.1,30.1,28.1,2.0,551.4,55.1,Moderate,Moderate,Moderate,Recommended,Moderate,Breakfast,Adults,Non-Veg,All
Cheese Masala Omelette (2 Eggs) w/ 2 Multigrain Toast,476.6,25.8,29.8,27.8,2.0,546.1,54.6,Moderate,Moderate,Moderate,Recommended,Moderate,Breakfast,Adults,Non-Veg,All
Cheese Masala Omelette (2 Eggs) w/ 2 Multigrain Toast,476.5,25.8,29.8,27.8,2.0,545.9,54.6,Moderate,Moderate,Moderate,Recommended,Moderate,Breakfast,Adults,Non-Veg,All
Cheese Masala Omelette (2 Eggs) w/ 2 Multigrain Toast,483.1,26.2,30.2,28.2,2.0,553.5,55.4,Moderate,Moderate,Moderate,Recommended,Moderate,Breakfast,Adults,Non-Veg,All
