food,calories,protein,carbs,fat,sugar,sodium,gi,diabetes_label,hypertension_label,cvd_label,pcos_label,obesity_label,meal_type,target_audience,food_type,region
"Chicken Curry Combo: 2 Roti, Chicken Curry (Bowl) & Salad",620,38.0,50.0,28.0,2.0,600,55,Moderate,Moderate,Moderate,Recommended,Moderate,Dinner,Adults,Non-Veg,North
"Grilled Fish (Full) w/ Sautéed Veggies & Mashed Potato",500,45.0,30.0,20.0,2.0,400,35,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Adults,Non-Veg,All
"Fruit Salad Bowl w/ Yogurt, Honey & Chia Seeds",280,6.0,45.0,8.0,25.0,40,50,Moderate,Recommended,Recommended,Moderate,Recommended,Snack,All,Veg,All
"Mixed Nuts & Seeds (Large Bowl) w/ Dried Cranberries",320,10.0,20.0,24.0,12.0,10,25,Recommended,Recommended,Recommended,Recommended,Avoid,Snack,All,Veg,All
"Green Tea w/ 2 Digestive Biscuits & Almonds",160,5.0,22.0,8.0,4.0,90,45,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,Seniors,Veg,All
"Peanut Butter Banana Toast (2 Slices)",350,12.0,45.0,16.0,14.0,200,55,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,Kids,Veg,All
"Protein Smoothie: Banana, Milk, Whey & Peanut Butter",380,28.0,35.0,12.0,18.0,150,50,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,Adults,Veg,All
"Rice Gruel (Kanji) w/ Moong Dal & Coconut Chammanthi",350,12.0,55.0,8.0,1.0,250,60,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,South
"Millet Dosa (3 pcs) w/ Coconut Chutney & Sambar",420,12.0,65.0,14.0,2.0,450,50,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Chole Bhature (2 Large) w/ Lassi",850,22.0,95.0,40.0,15.0,900,75,Avoid,Avoid,Avoid,Avoid,Avoid,Lunch,Adults,Veg,North
"Egg Bhurji (3 Eggs) w/ 2 Chapati & Salad",480,26.0,40.0,24.0,2.0,500,50,Recommended,Moderate,Recommended,Recommended,Recommended,Dinner,Adults,Non-Veg,North
"Cream of Mushroom Soup, Garlic Bread (2) & Grilled Veggies",420,10.0,55.0,18.0,4.0,650,55,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,All
"Paneer Tikka (6 pcs) w/ Mint Chutney & Salad",340,24.0,12.0,22.0,2.0,400,35,Recommended,Recommended,Recommended,Recommended,Moderate,Snack,All,Veg,North
"Roasted Makhana (Large Bowl) & Handful of Almonds",220,6.0,28.0,10.0,1.0,100,30,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Sprouted Moong Salad (Large) w/ Peanuts & Lemon",280,18.0,35.0,10.0,3.0,250,25,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,Adults,Veg,All
"Boiled Chana Chaat (Large) w/ Onions & Tomato",320,16.0,45.0,6.0,2.0,300,30,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,Adults,Veg,North
"Masala Buttermilk (2 Glasses) & Roasted Papad",120,6.0,10.0,6.0,0.0,300,15,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Cucumber Sticks w/ Hummus Dip & Olives",250,8.0,22.0,16.0,1.0,300,15,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Boiled Egg Whites (4) & Apple Slices",180,16.0,20.0,1.0,12.0,250,20,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Non-Veg,All
"Chicken Clear Soup (Large Bowl) w/ Croutons",180,18.0,15.0,5.0,1.0,550,20,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Non-Veg,All
"Papaya Bowl (Large) w/ Lime & Chia Seeds",120,2.0,28.0,1.0,18.0,5,55,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Greek Yogurt Bowl w/ Berries, Honey & Granola",320,18.0,40.0,10.0,15.0,60,25,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Roasted Peanuts (Handful) & Jaggery Cube",250,9.0,15.0,18.0,10.0,5,15,Recommended,Recommended,Recommended,Recommended,Avoid,Snack,Adults,Veg,All
"Sweet Corn Cup (Buttered) w/ Pepper",180,5.0,32.0,6.0,4.0,150,55,Moderate,Recommended,Recommended,Moderate,Moderate,Snack,Kids,Veg,All
"Clear Veg Soup w/ Croutons & Cheese Cube",200,6.0,22.0,10.0,2.0,450,30,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Ragi Biscuits (4) & Masala Chai",220,4.0,35.0,8.0,8.0,80,60,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Orange (Medium) & Walnuts (4)",180,4.0,22.0,10.0,12.0,0,35,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Guava Slices w/ Chili Salt",60,3.5,18.0,0.5,10.0,150,30,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,Adults,Veg,All
"Grilled Paneer (150g) w/ Seasoning",350,28.0,6.0,26.0,1.0,200,30,Recommended,Recommended,Avoid,Recommended,Moderate,Snack,All,Veg,North
"Edamame Beans (Steamed - Large Bowl)",200,18.0,16.0,8.0,2.0,20,20,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Watermelon Bowl w/ Feta Cheese & Mint",220,8.0,25.0,12.0,18.0,150,55,Moderate,Moderate,Recommended,Moderate,Recommended,Snack,All,Veg,All
"Multigrain Toast (2) w/ Avocado Smash",380,10.0,35.0,22.0,1.0,250,45,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,Adults,Veg,All
"Dates (4) & Walnuts (5)",300,6.0,45.0,15.0,35.0,0,40,Moderate,Recommended,Recommended,Moderate,Moderate,Snack,Adults,Veg,All
"Besan Chilla (2) w/ Curd & Pickle",350,14.0,38.0,12.0,2.0,350,35,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,North
"Chia Seed Pudding w/ Almond Milk & Berries",240,8.0,22.0,14.0,5.0,30,20,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Methi Thepla (3) w/ Curd & Pickle",480,12.0,60.0,18.0,2.0,500,50,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,North
"Multigrain Sandwich (Paneer/Veg) w/ Salad",420,18.0,50.0,16.0,4.0,550,55,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,All
"Ragi Porridge w/ Jaggery, Milk & Nuts",320,8.0,55.0,8.0,15.0,80,55,Moderate,Recommended,Recommended,Moderate,Recommended,Breakfast,Seniors,Veg,South
"Moong Dal Chilla (3) w/ Paneer Stuffing",450,22.0,45.0,18.0,2.0,400,40,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,North
"Aloo Paratha (2) w/ Curd & Butter",650,12.0,85.0,28.0,4.0,600,70,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,Kids,Veg,North
"Soya Chunks Curry w/ 2 Rotis & Salad",480,28.0,55.0,14.0,3.0,450,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,North
"Dal Tadka w/ Jeera Rice & Veg Salad",450,16.0,65.0,14.0,2.0,480,55,Recommended,Moderate,Recommended,Recommended,Recommended,Lunch,All,Veg,North
"Fish Moilee (Coconut Stew) & Rice (1 Cup)",550,30.0,45.0,26.0,2.0,500,55,Recommended,Moderate,Recommended,Recommended,Moderate,Lunch,Adults,Non-Veg,South
"Quinoa Salad w/ Chickpeas, Feta & Olives",420,16.0,50.0,18.0,3.0,300,35,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,All
"Ragi Mudde w/ Sambar, Greens & Ghee",450,12.0,75.0,10.0,1.0,350,45,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Seniors,Veg,South
"Egg Curry (2 Eggs) w/ Rice & Salad",480,20.0,55.0,18.0,2.0,480,55,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Adults,Non-Veg,All
"Paneer Butter Masala & 2 Naan Combo",850,22.0,90.0,45.0,8.0,900,70,Avoid,Avoid,Avoid,Moderate,Avoid,Lunch,Adults,Veg,North
"Chicken Stew w/ 3 Appam",550,26.0,65.0,18.0,3.0,500,50,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Adults,Non-Veg,South
"Bajra Khichdi w/ Ghee, Curd & Pickle",420,12.0,55.0,16.0,1.0,350,45,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,North
"Tofu Stir Fry w/ Brown Rice & Sesame",450,24.0,52.0,16.0,2.0,400,45,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Veg,All
"Bottle Gourd (Lauki) Sabzi & 3 Phulka",380,12.0,60.0,10.0,4.0,300,40,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,North
"Paneer Bhurji w/ 2 Chapati & Salad",520,24.0,45.0,26.0,3.0,450,50,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Veg,North
"Mutton Rogan Josh w/ Rice & Salad",750,35.0,55.0,42.0,2.0,700,60,Avoid,Avoid,Avoid,Avoid,Avoid,Dinner,Adults,Non-Veg,North
"Dahi Vada (2 pcs - Non Fried) w/ Chutney",280,10.0,35.0,10.0,5.0,300,45,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,North
"Sweet Potato Chaat (Bowl) w/ Lemon & Peanuts",240,5.0,45.0,4.0,10.0,200,50,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Broccoli & Almond Soup (Bowl) w/ Toast",200,8.0,25.0,8.0,3.0,400,30,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Besan Ladoo (1 Pc - Sugar Free)",120,4.0,14.0,6.0,0.0,10,40,Recommended,Recommended,Recommended,Recommended,Moderate,Snack,All,Veg,North
"Chicken Tikka (6 pcs) w/ Salad",320,35.0,4.0,18.0,1.0,550,30,Recommended,Moderate,Recommended,Recommended,Moderate,Snack,All,Non-Veg,North
"Baked Fish Fingers (5 pcs) w/ Dip",280,25.0,18.0,10.0,0.5,450,45,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,Kids,Non-Veg,All
"Quinoa Upma (Large Bowl) w/ Veggies",300,10.0,45.0,8.0,2.0,300,45,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Oats Idli (3 pcs) with Coconut Chutney",280,9.0,42.0,6.0,1.5,400,45,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,South
"Scrambled Tofu (Large) & 2 Toast",350,22.0,30.0,14.0,2.0,450,40,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,All
"Millet Porridge (Bowl) w/ Nuts",260,8.0,42.0,6.0,4.0,120,50,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Buckwheat Dosa (3 pcs) with Mint Chutney",320,10.0,48.0,8.0,1.5,400,45,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Spinach & Corn Sandwich (Grilled)",340,12.0,45.0,12.0,3.0,550,55,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Kids,Veg,All
"Dal Paratha (2) with Curd",480,16.0,65.0,16.0,3.0,500,55,Recommended,Moderate,Recommended,Recommended,Moderate,Breakfast,Adults,Veg,North
"Egg White Omelette (3 Eggs) with Veggies & Toast",240,24.0,15.0,8.0,2.0,350,30,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Brown Rice Pulao (Large) with Mixed Veggies & Raita",420,12.0,75.0,8.0,3.5,400,55,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,All
"Millet Khichdi with Kadhi & Salad",380,12.0,60.0,10.0,2.5,450,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Seniors,Veg,North
"Jowar Roti (3) with Methi Sabzi & Curd",420,14.0,65.0,10.0,2.0,350,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Adults,Veg,North
"Chicken Stew with Brown Rice (1 Cup)",500,32.0,45.0,18.0,2.0,500,55,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Adults,Non-Veg,South
"Fish Curry with Quinoa & Salad",450,30.0,40.0,15.0,1.0,450,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Adults,Non-Veg,South
"Palak Paneer with Missi Roti (2) & Salad",480,22.0,45.0,22.0,4.0,550,50,Recommended,Moderate,Recommended,Recommended,Moderate,Lunch,All,Veg,North
"Curd Rice (Large) with Beetroot Thoran",350,10.0,50.0,10.0,5.0,350,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Seniors,Veg,South
"Chana Masala with 2 Bhatura (Low Oil)",650,20.0,85.0,24.0,4.0,750,60,Moderate,Moderate,Moderate,Moderate,Avoid,Lunch,Adults,Veg,North
"Mixed Veg Curry with Tandoori Roti (2)",420,12.0,55.0,16.0,4.0,550,55,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Veg,North
"Dal Makhani (Low Fat) with Jeera Rice",520,16.0,70.0,18.0,3.0,600,55,Recommended,Moderate,Recommended,Recommended,Moderate,Dinner,All,Veg,North
"Stuffed Capsicum with Paneer & Rotis (2)",450,18.0,45.0,20.0,4.0,500,50,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Veg,North
"Grilled Salmon with Asparagus & Mashed Potato",550,40.0,25.0,28.0,1.5,400,30,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Adults,Non-Veg,All
"Chicken Stir Fry with Broccoli & Brown Rice",480,35.0,35.0,18.0,2.5,450,40,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Adults,Non-Veg,All
"Mushroom Soup with Garlic Toast (2) & Salad",320,8.0,40.0,12.0,4.0,650,55,Recommended,Moderate,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,All
"Lentil Soup with Whole Wheat Roll & Salad",350,16.0,50.0,8.0,3.0,500,45,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,All
"Pesarattu (Green Moong Dosa) w/ Ginger Chutney",380,18.0,52.0,10.0,2.0,400,35,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Adai Dosa (Mixed Lentil) w/ Avial",420,20.0,55.0,12.0,3.0,450,40,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Thalipeeth (Multigrain Flatbread) w/ White Butter",350,12.0,45.0,14.0,1.0,350,50,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,North
"Daliya (Broken Wheat) Khichdi w/ Veggies",320,10.0,58.0,6.0,1.0,300,45,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,North
"Rava Idli (3 pcs) w/ Sagu",400,10.0,65.0,10.0,2.0,500,60,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,South
"Set Dosa (3 pcs) w/ Veg Curry",550,12.0,85.0,16.0,3.0,600,65,Moderate,Moderate,Moderate,Avoid,Avoid,Breakfast,All,Veg,South
"Sabudana Khichdi (Bowl) w/ Peanuts",580,6.0,80.0,25.0,4.0,450,75,Avoid,Recommended,Moderate,Avoid,Avoid,Breakfast,All,Veg,North
"Appam (2) w/ Veg Stew (Coconut Milk)",480,8.0,65.0,20.0,5.0,400,60,Moderate,Recommended,Moderate,Moderate,Moderate,Breakfast,Adults,Veg,South
"Akki Roti (Rice Flour Bread) w/ Chutney",420,8.0,70.0,12.0,1.0,450,70,Avoid,Recommended,Recommended,Avoid,Avoid,Breakfast,All,Veg,South
"Avocado Toast (2 Slices) w/ Poached Egg",380,16.0,30.0,22.0,1.0,280,45,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"French Toast (Whole Wheat, Low Sugar) w/ Berries",320,12.0,40.0,12.0,8.0,200,55,Moderate,Recommended,Recommended,Moderate,Moderate,Breakfast,Kids,Non-Veg,All
"Vermicelli Upma (Large Bowl) w/ Veggies",350,8.0,60.0,9.0,1.0,350,55,Moderate,Recommended,Recommended,Moderate,Recommended,Breakfast,Seniors,Veg,South
"Shakshuka (2 Eggs in Tomato Base) w/ Toast",400,20.0,25.0,22.0,4.0,500,45,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Misal Pav (Spicy Sprouts) w/ 2 Pav",650,18.0,85.0,28.0,6.0,950,65,Avoid,Avoid,Avoid,Avoid,Avoid,Lunch,Adults,Veg,North
"Jowar Bhakri (2) w/ Pitla (Besan Curry) & Thecha",450,18.0,65.0,12.0,1.0,450,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,North
"Black Chana Curry (Kala Chana) w/ Brown Rice",420,18.0,60.0,10.0,2.0,400,35,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,North
"Sarson Ka Saag w/ Makki Ki Roti (2) & Ghee",580,14.0,55.0,32.0,3.0,550,55,Recommended,Moderate,Moderate,Recommended,Moderate,Lunch,Seniors,Veg,North
"Lobia (Black Eyed Peas) Curry w/ Rice",400,16.0,62.0,8.0,2.0,350,40,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,North
"Kadhi Pakora (Baked) w/ Steamed Rice",450,12.0,65.0,14.0,2.0,550,55,Recommended,Moderate,Recommended,Recommended,Recommended,Lunch,All,Veg,North
"Baingan Bharta (Roasted Eggplant) w/ 3 Phulka",350,10.0,55.0,10.0,3.0,300,45,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Seniors,Veg,North
"Soya Keema Matar w/ 2 Multigrain Paratha",480,28.0,50.0,16.0,3.0,500,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,North
"Chicken Shawarma Bowl (Salad Base, No Mayo)",450,45.0,15.0,22.0,2.0,650,30,Recommended,Moderate,Recommended,Recommended,Recommended,Lunch,Adults,Non-Veg,All
"Thai Green Curry (Chicken) w/ Jasmine Rice",650,25.0,55.0,35.0,4.0,800,60,Moderate,Avoid,Moderate,Moderate,Avoid,Lunch,Adults,Non-Veg,All
"Lemon Coriander Chicken w/ Quinoa",400,35.0,30.0,12.0,1.0,450,35,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Adults,Non-Veg,All
"Zucchini Noodles (Zoodles) w/ Pesto & Chicken",320,28.0,10.0,18.0,2.0,350,20,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Adults,Non-Veg,All
"Hyderabadi Haleem (Oats Version) w/ Fried Onions",550,35.0,45.0,24.0,1.0,600,50,Recommended,Moderate,Moderate,Recommended,Moderate,Lunch,Adults,Non-Veg,South
"Prawn Curry (Coconut Base) w/ Rice",580,30.0,50.0,28.0,1.0,650,55,Moderate,Moderate,Moderate,Recommended,Moderate,Lunch,Adults,Non-Veg,South
"Cauliflower Rice Pulao w/ Grilled Paneer",320,18.0,15.0,20.0,2.0,300,25,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Veg,All
"Pumpkin & Coconut Soup w/ Garlic Bread",280,4.0,35.0,12.0,6.0,450,55,Recommended,Recommended,Recommended,Moderate,Recommended,Dinner,Seniors,Veg,All
"Chicken Clear Soup w/ Boiled Egg & Veggies",220,20.0,5.0,10.0,0.0,500,15,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,All,Non-Veg,All
"Tom Yum Soup (Clear, Shrimp)",180,15.0,8.0,5.0,1.0,850,20,Recommended,Avoid,Recommended,Recommended,Recommended,Dinner,Adults,Non-Veg,All
"Veg Manchow Soup (No Fried Noodles)",150,4.0,20.0,5.0,2.0,750,45,Recommended,Avoid,Recommended,Recommended,Recommended,Dinner,All,Veg,All
"Pav Bhaji (Less Butter) w/ 2 Whole Wheat Pav",520,14.0,80.0,14.0,6.0,800,65,Avoid,Avoid,Recommended,Moderate,Moderate,Dinner,All,Veg,North
"Ragda Pattice (Pan Seared Tikkis) w/ Chutney",450,12.0,65.0,14.0,5.0,600,55,Moderate,Moderate,Recommended,Recommended,Moderate,Dinner,All,Veg,North
"Chicken Momos (Steamed - 6 pcs) w/ Clear Soup",380,22.0,45.0,10.0,1.0,700,55,Moderate,Moderate,Recommended,Recommended,Recommended,Dinner,Kids,Non-Veg,North
"Grilled Fish Tacos (2) w/ Cabbage Slaw",420,30.0,35.0,16.0,2.0,500,45,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Adults,Non-Veg,All
"Tofu Stir Fry w/ Buckwheat Noodles",400,20.0,55.0,12.0,2.0,650,45,Recommended,Moderate,Recommended,Recommended,Recommended,Dinner,Adults,Veg,All
"Nicoise Salad (Tuna, Beans, Egg, Olives)",380,32.0,15.0,20.0,2.0,550,25,Recommended,Moderate,Recommended,Recommended,Recommended,Dinner,Adults,Non-Veg,All
"Dhokla (3 pcs) w/ Green Chutney",220,8.0,35.0,6.0,2.0,450,40,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,North
"Khandvi (3 Rolls) w/ Mustard Tempering",180,6.0,22.0,8.0,1.0,250,35,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,North
"Muthia (Steamed Bottle Gourd Dumplings)",250,8.0,38.0,8.0,2.0,300,45,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,Seniors,Veg,North
"Patra (Steamed Colocasia Leaves)",200,6.0,28.0,8.0,3.0,250,40,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,North
"Sattu Drink (Savory) w/ Lime & Cumin",120,8.0,18.0,2.0,0.0,200,30,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,North
"Mango Lassi (No Added Sugar)",220,6.0,32.0,6.0,25.0,50,55,Moderate,Recommended,Recommended,Avoid,Moderate,Snack,All,Veg,North
"Bhel Puri (Homemade, More Sprouts)",280,8.0,45.0,8.0,4.0,550,60,Moderate,Moderate,Recommended,Moderate,Moderate,Snack,Kids,Veg,North
"Roasted Chana (Chickpeas) - Handful",150,8.0,22.0,3.0,1.0,10,25,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Corn on the Cob (Bhutta) w/ Lemon",120,4.0,26.0,2.0,5.0,10,50,Recommended,Recommended,Recommended,Moderate,Recommended,Snack,All,Veg,All
"Paneer Kathi Roll (Whole Wheat Wrap)",380,18.0,35.0,18.0,2.0,450,50,Recommended,Recommended,Recommended,Recommended,Moderate,Snack,Kids,Veg,North
"Egg Franky (Whole Wheat Wrap)",350,16.0,32.0,16.0,1.0,400,50,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,Kids,Non-Veg,North
"Dark Chocolate (2 Squares) & Strawberries",140,2.0,14.0,9.0,8.0,0,30,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Carrot Halwa (Low Fat Milk, Less Sugar)",220,5.0,35.0,8.0,18.0,60,55,Moderate,Recommended,Recommended,Moderate,Moderate,Snack,All,Veg,North
"Tender Coconut Water w/ Malai",100,2.0,12.0,5.0,10.0,40,45,Recommended,Recommended,Recommended,Recommended,Recommended,Snack,All,Veg,All
"Ragi Malt (Salted) w/ Buttermilk (1 Large Glass)",180,6.0,35.0,2.0,0.0,150,50,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,South
"Mung Bean Sprout Salad w/ Pomegranate (1 Medium Bowl)",220,12.0,38.0,1.0,8.0,50,30,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,All
"Palak Paratha (2) w/ Curd & Flaxseed Chutney",450,14.0,55.0,18.0,2.0,400,50,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg,North
"Egg Bhurji Pav (2 Whole Wheat Pav)",480,22.0,45.0,20.0,3.0,550,55,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,North
"Methi Muthia (5 pcs - Steamed) w/ Green Chutney",280,10.0,40.0,8.0,2.0,350,45,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,North
